Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;;
Accounting for Social; Spatial; and Textual Interconnections;Computer Applications for Handling Legal Evidence; Police Investigation and Case Argumentation;10.1007/978-90-481-8990-8_6;Dr. Ephraim Nissan;2012;http://link.springer.com/chapter/10.1007/978-90-481-8990-8_6;Chapter;;;;
OWL 2 Profiles: An Introduction to Lightweight Ontology Languages;Reasoning Web. Semantic Technologies for Advanced Query Answering;;;;10.1007/978-3-642-33158-9_4;Markus Kr«Ùtzsch;2012;http://link.springer.com/chapter/10.1007/978-3-642-33158-9_4;Chapter;;;;
Reasoning with Rules and Ontologies;Reasoning Web;;;;10.1007/11837787_4;Thomas EiterGiovambattista IanniAxel PolleresRoman SchindlauerHans Tompits;2006;http://link.springer.com/chapter/10.1007/11837787_4;Chapter;;;;
A Logic-Based System for Application Integration;Logic Programming;;;;10.1007/3-540-45619-8_31;Tam«≠s Benkè?P«∏ter KrauthP«∏ter Szeredi;2002;http://link.springer.com/chapter/10.1007/3-540-45619-8_31;Chapter;;;;
A Formal Framework for Reasoning on UML Class Diagrams;Foundations of Intelligent Systems;;;;10.1007/3-540-48050-1_54;Andrea Cal«™Diego CalvaneseGiuseppe De GiacomoMaurizio Lenzerini;2002;http://link.springer.com/chapter/10.1007/3-540-48050-1_54;Chapter;;;;
G-Map Semantic Mapping Approach to Improve Semantic Interoperability of Distributed Geospatial Web Services;Advances in Conceptual Modeling É?? Applications and Challenges;;;;10.1007/978-3-642-16385-2_3;Mohamed BakillahMir Abolfazl Mostafavi;2010;http://link.springer.com/chapter/10.1007/978-3-642-16385-2_3;Chapter;;;;
Answer Set Programming: A Primer;Reasoning Web. Semantic Technologies for Information Systems;;;;10.1007/978-3-642-03754-2_2;Thomas EiterGiovambattista IanniThomas Krennwallner;2009;http://link.springer.com/chapter/10.1007/978-3-642-03754-2_2;Chapter;;;;
Multimedia; Broadcasting; and eCulture;Handbook of Semantic Web Technologies;;10.1007/978-3-540-92913-0_21;Lyndon NixonStamatia DasiopoulouJean-Pierre EvainEero Hyv«ÙnenIoannis KompatsiarisRapha«Æl Troncy;2011;http://link.springer.com/referenceworkentry/10.1007/978-3-540-92913-0_21;ReferenceWorkEntry;;;;
Issues in an inference platform for generating deductive knowledge: a case study in cultural heritage digital libraries using the CIDOC CRM;International Journal on Digital Libraries;;8;2;10.1007/s00799-008-0034-0;Chia-Hung LinJen-Shin HongMartin Doerr;2008;http://link.springer.com/article/10.1007/s00799-008-0034-0;Article;;;;
A Knowledge-Based Approach to Visual Information;Journal of Intelligent Information Systems;;19;3;10.1023/A:1020145906546;Elisa BertinoAhmed K. ElmagarmidMohand-Sa«Ód Hacid;2002;http://link.springer.com/article/10.1023/A%3A1020145906546;Article;;;;
Matching Techniques; Algorithms; and Systems;Taxonomy Matching Using Background Knowledge;;10.1007/978-3-319-72209-2_3;Heiko AngermannNaeem Ramzan;2017;http://link.springer.com/chapter/10.1007/978-3-319-72209-2_3;Chapter;;;;
An intelligent information system for heterogeneous data exploration;Object-Oriented Methodologies and Systems;;;;10.1007/BFb0014032;Maria Luisa Damiani;1994;http://link.springer.com/chapter/10.1007/BFb0014032;Chapter;;;;
Lightweight Ontologies;Theory and Applications of Ontology: Computer Applications;;;;10.1007/978-90-481-8847-5_9;John Davies;2010;http://link.springer.com/chapter/10.1007/978-90-481-8847-5_9;Chapter;;;;
Methodology for Semantic Representing of Product Data in XML;Content Computing;;;;10.1007/978-3-540-30483-8_46;Xiangjun FuShanping LiMing GuoNizamuddin Channa;2004;http://link.springer.com/chapter/10.1007/978-3-540-30483-8_46;Chapter;;;;
Integrity constraints in OWL ontologies based on grounded circumscription;Frontiers of Computer Science;;7;6;10.1007/s11704-013-2284-2;Dantong OuyangXianji CuiYuxin Ye;2013;http://link.springer.com/article/10.1007/s11704-013-2284-2;Article;;;;
Applying Functional Languages in Knowledge-Based Information Integration Systems;The Functional Approach to Data Management;;;;10.1007/978-3-662-05372-0_10;Martin PeimNorman W. PatonEnrico Franconi;2004;http://link.springer.com/chapter/10.1007/978-3-662-05372-0_10;Chapter;;;;
Complexity of Reasoning over Temporal Data Models;Conceptual Modeling É?? ER 2010;;;;10.1007/978-3-642-16373-9_13;Alessandro ArtaleRoman KontchakovVladislav RyzhikovMichael Zakharyaschev;2010;http://link.springer.com/chapter/10.1007/978-3-642-16373-9_13;Chapter;;;;
Fuzzy Ontology Modeling by Utilizing Fuzzy Set and Fuzzy Description Logic;Modern Approaches for Intelligent Information and Database Systems;;;;10.1007/978-3-319-76081-0_2;Xuan Hung QuachThi Lan Giao Hoang;2018;http://link.springer.com/chapter/10.1007/978-3-319-76081-0_2;Chapter;;;;
Cross: An OWL Wrapper for Reasoning on Relational Databases;Conceptual Modeling - ER 2007;;;;10.1007/978-3-540-75563-0_34;Pierre-Antoine ChampinGeert-Jan HoubenPhilippe Thiran;2007;http://link.springer.com/chapter/10.1007/978-3-540-75563-0_34;Chapter;;;;
Understanding a Probabilistic Description Logic via Connections to First-Order Logic of Probability;Uncertainty Reasoning for the Semantic Web II;;;;10.1007/978-3-642-35975-0_3;Pavel KlinovBijan Parsia;2013;http://link.springer.com/chapter/10.1007/978-3-642-35975-0_3;Chapter;;;;
Reasoning over Extended ER Models;Conceptual Modeling - ER 2007;;;;10.1007/978-3-540-75563-0_20;A. ArtaleD. CalvaneseR. KontchakovV. RyzhikovM. Zakharyaschev;2007;http://link.springer.com/chapter/10.1007/978-3-540-75563-0_20;Chapter;;;;
An overview of distance and similarity functions for structured data;Artificial Intelligence Review;;;;10.1007/s10462-020-09821-w;Santiago Onta«Ò«¸n;2020;http://link.springer.com/article/10.1007/s10462-020-09821-w;Article;;;;
Extension of OWL with Dynamic Fuzzy Logic;Advances in Web and Network Technologies; and Information Management;;;10.1007/978-3-642-03996-6_7;Zhiming CuiWei FangXuefeng XianShukui ZhangPengpeng Zhao;2009;http://link.springer.com/chapter/10.1007/978-3-642-03996-6_7;Chapter;;;;
Software Modeling Using Ontology Technologies;Foundations for the Web of Information and Services;;;;10.1007/978-3-642-19797-0_11;Gerd Gr«ÙnerFernando Silva ParreirasSteffen StaabTobias Walter;2011;http://link.springer.com/chapter/10.1007/978-3-642-19797-0_11;Chapter;;;;
A Reasoner for Simple Conceptual Logic Programs;Web Reasoning and Rule Systems;;;;10.1007/978-3-642-05082-4_5;Stijn HeymansCristina FeierThomas Eiter;2009;http://link.springer.com/chapter/10.1007/978-3-642-05082-4_5;Chapter;;;;
Modularity in Databases;Modular Ontologies;;;;10.1007/978-3-642-01907-4_6;Christine ParentStefano SpaccapietraEsteban Zim«≠nyi;2009;http://link.springer.com/chapter/10.1007/978-3-642-01907-4_6;Chapter;;;;
ParseTalk É?? The System Context;Grading Knowledge;;;;10.1007/3-540-46618-5_2;;1999;http://link.springer.com/chapter/10.1007/3-540-46618-5_2;Chapter;;;;
A Description Logic for Unifying Different Points of View;Knowledge Graphs and Semantic Web;;;;10.1007/978-3-030-21395-4_2;Paula SeveriEdelweis RohrerRegina Motz;2019;http://link.springer.com/chapter/10.1007/978-3-030-21395-4_2;Chapter;;;;
Towards a Fuzzy Description Logic for the Semantic Web (Preliminary Report);The Semantic Web: Research and Applications;;;;10.1007/11431053_12;U. Straccia;2005;http://link.springer.com/chapter/10.1007/11431053_12;Chapter;;;;
An Introduction to Ontology-Based Query Answering with Existential Rules;Reasoning Web. Reasoning on the Web in the Big Data Era;;;;10.1007/978-3-319-10587-1_6;Marie-Laure MugnierMicha«Æl Thomazo;2014;http://link.springer.com/chapter/10.1007/978-3-319-10587-1_6;Chapter;;;;
Fuzzy Logic; Annotation Domains and Semantic Web Languages;Scalable Uncertainty Management;;;10.1007/978-3-642-23963-2_2;Umberto Straccia;2011;http://link.springer.com/chapter/10.1007/978-3-642-23963-2_2;Chapter;;;;
Logic Programming Languages for Databases and the Web;A 25-Year Perspective on Logic Programming;;;;10.1007/978-3-642-14309-0_9;Sergio GrecoFrancesca A. Lisi;2010;http://link.springer.com/chapter/10.1007/978-3-642-14309-0_9;Chapter;;;;
Representing and Reasoning on Conceptual Queries Over Image Databases;Journal of Intelligent Information Systems;;14;02/mar;10.1023/A:1008731702009;Mohand-Sa«Ód Hacid;2000;http://link.springer.com/article/10.1023/A%3A1008731702009;Article;;;;
Conceptual Indexing of Television Images Based on Face and Caption Sizes and Locations;Advances in Visual Information Systems;;;;10.1007/3-540-40053-2_31;Remi RonfardChristophe GarciaJean Carrive;2000;http://link.springer.com/chapter/10.1007/3-540-40053-2_31;Chapter;;;;
BayesOWL: Uncertainty Modeling in Semantic Web Ontologies;Soft Computing in Ontologies and Semantic Web;;;;10.1007/978-3-540-33473-6_1;Zhongli DingYun PengRong Pan;2006;http://link.springer.com/chapter/10.1007/978-3-540-33473-6_1;Chapter;;;;
Accessing data in the semantic web: An intelligent data integration and navigation approaches;Artificial Intelligence Applications and Innovations;;;;10.1007/0-387-34224-9_14;Mourad Ouziri;2006;http://link.springer.com/chapter/10.1007/0-387-34224-9_14;Chapter;;;;
Ontology-Based Knowledge Management In The Steel Industry;The Semantic Web;;;;10.1007/978-0-387-48531-7_11;Jos«∏ Aranc«¸nLuis PoloDiego BerruetaFran«ıois-Marie LesaffreNicol«ˇs de AbajoAntonio Campos;2008;http://link.springer.com/chapter/10.1007/978-0-387-48531-7_11;Chapter;;;;
OWL schema matching;Journal of the Brazilian Computer Society;;16;1;10.1007/s13173-010-0005-3;Luiz Andr«∏ P. Paes LemeMarco A. CasanovaKarin K. BreitmanAntonio L. Furtado;2010;http://link.springer.com/article/10.1007/s13173-010-0005-3;Article;;;;
Reasoning in Semantic Web-based Systems;Semantic Web Information Management;;;;10.1007/978-3-642-04329-1_7;Florian FischerGulay Unel;2010;http://link.springer.com/chapter/10.1007/978-3-642-04329-1_7;Chapter;;;;
Relational concept analysis: mining concept lattices from multi-relational data;Annals of Mathematics and Artificial Intelligence;;67;1;10.1007/s10472-012-9329-3;Mohamed Rouane-HaceneMarianne HuchardAmedeo NapoliPetko Valtchev;2013;http://link.springer.com/article/10.1007/s10472-012-9329-3;Article;;;;
The Hybrid ◊¨-Calculus;Automated Reasoning;;;;10.1007/3-540-45744-5_7;Ulrike SattlerMoshe Y. Vardi;2001;http://link.springer.com/chapter/10.1007/3-540-45744-5_7;Chapter;;;;
A formal approach to model refactoring and model refinement;Software & Systems Modeling;;6;2;10.1007/s10270-006-0025-9;Ragnhild Van Der StraetenViviane JonckersTom Mens;2007;http://link.springer.com/article/10.1007/s10270-006-0025-9;Article;;;;
GeoMergeP: Geographic Information Integration through Enriched Ontology Matching;New Generation Computing;;28;1;10.1007/s00354-008-0074-4;Agustina BuccellaAlejandra CechichDomenico GendarmiFilippo LanubileGiovanni SemeraroAttilio Colagrossi;2010;http://link.springer.com/article/10.1007/s00354-008-0074-4;Article;;;;
Rules and Logic Programming for the Web;Reasoning Web. Semantic Technologies for the Web of Data;;;;10.1007/978-3-642-23032-5_6;Adrian Paschke;2011;http://link.springer.com/chapter/10.1007/978-3-642-23032-5_6;Chapter;;;;
Semantic Round-Tripping in Conceptual Modelling Using Restricted Natural Language;Databases Theory and Applications;;;;10.1007/978-3-030-39469-1_1;Bayzid Ashik HossainRolf Schwitter;2020;http://link.springer.com/chapter/10.1007/978-3-030-39469-1_1;Chapter;;;;
Organization and Management of Large Categorical Systems;Theory and Applications of Ontology: Computer Applications;;;;10.1007/978-90-481-8847-5_3;Frank Loebe;2010;http://link.springer.com/chapter/10.1007/978-90-481-8847-5_3;Chapter;;;;
Conceptual Navigation in RDF Graphs with SPARQL-Like Queries;Formal Concept Analysis;;;;10.1007/978-3-642-11928-6_14;S«∏bastien Ferr«∏;2010;http://link.springer.com/chapter/10.1007/978-3-642-11928-6_14;Chapter;;;;
Merging Model Driven Architecture and Semantic Web for Business Rules Generation;Web Reasoning and Rule Systems;;;;10.1007/978-3-540-72982-2_9;Mouhamed DioufSofian MaaboutKaninda Musumbu;2007;http://link.springer.com/chapter/10.1007/978-3-540-72982-2_9;Chapter;;;;
Ontologies for the Semantic Web in Casl;Recent Trends in Algebraic Development Techniques;;;;10.1007/978-3-540-31959-7_7;Klaus L«¨ttichTill MossakowskiBernd Krieg-Br«¨ckner;2005;http://link.springer.com/chapter/10.1007/978-3-540-31959-7_7;Chapter;;;;
Matching Semantic Service Descriptions with Local Closed-World Reasoning;The Semantic Web: Research and Applications;;;;10.1007/11762256_42;Stephan GrimmBoris MotikChris Preist;2006;http://link.springer.com/chapter/10.1007/11762256_42;Chapter;;;;
Semantic Web Services Fundamentals;Handbook of Service Description;;;;10.1007/978-1-4614-1864-1_6;Stijn HeymansJ«Ùrg HoffmannAnnapaola MarconiJoshua PhillipsIngo Weber;2012;http://link.springer.com/chapter/10.1007/978-1-4614-1864-1_6;Chapter;;;;
Querying Documents using Content; Structure and Properties;Journal of Intelligent Information Systems;;15;10.1023/A:1008784514647;Patrick LambrixNahid Shahmehri;2000;http://link.springer.com/article/10.1023/A%3A1008784514647;Article;;;;
A fuzzy ontology-based approach for tool-supported decision making in architectural design;Knowledge and Information Systems;;58;1;10.1007/s10115-018-1182-1;Tommaso Di NoiaMarina MongielloFrancesco NoceraUmberto Straccia;2019;http://link.springer.com/article/10.1007/s10115-018-1182-1;Article;;;;
Applications of Metadata and Ontologies;The Semantic Web;;;;10.1007/978-3-540-76452-6_7;;2008;http://link.springer.com/chapter/10.1007/978-3-540-76452-6_7;Chapter;;;;
A survey of temporal extensions of description logics;Annals of Mathematics and Artificial Intelligence;;30;01/abr;10.1023/A:1016636131405;Alessandro ArtaleEnrico Franconi;2000;http://link.springer.com/article/10.1023/A%3A1016636131405;Article;;;;
Automatic Building of an Appropriate Global Ontology;Advances in Databases and Information Systems;;;;10.1007/978-3-642-23737-9_31;Cheikh NiangB«∏atrice BouchouMoussa LoYacine Sam;2011;http://link.springer.com/chapter/10.1007/978-3-642-23737-9_31;Chapter;;;;
Semantic Web;A Guided Tour of Artificial Intelligence Research;;;;10.1007/978-3-030-06170-8_6;J«∏r«Ôme EuzenatMarie-Christine Rousset;2020;http://link.springer.com/chapter/10.1007/978-3-030-06170-8_6;Chapter;;;;
DL-Lite with Temporalised Concepts; Rigid Axioms and Roles;Frontiers of Combining Systems;;;10.1007/978-3-642-04222-5_8;Alessandro ArtaleRoman KontchakovVladislav RyzhikovMichael Zakharyaschev;2009;http://link.springer.com/chapter/10.1007/978-3-642-04222-5_8;Chapter;;;;
A Survey of Schema-Based Matching Approaches;Journal on Data Semantics IV;;;;10.1007/11603412_5;Pavel ShvaikoJ«∏r«Ôme Euzenat;2005;http://link.springer.com/chapter/10.1007/11603412_5;Chapter;;;;
Can OWL and Logic Programming Live Together Happily Ever After?;The Semantic Web - ISWC 2006;;;;10.1007/11926078_36;Boris MotikIan HorrocksRiccardo RosatiUlrike Sattler;2006;http://link.springer.com/chapter/10.1007/11926078_36;Chapter;;;;
Incorporating institutions; norms and territories in a generic model to simulate the management of renewable resources;Artificial Intelligence and Law;;21;10.1007/s10506-012-9133-8;Sigrid AubertJean-Pierre M«¨ller;2013;http://link.springer.com/article/10.1007/s10506-012-9133-8;Article;;;;
On Representational Issues About Combinations of Classical Theories with Nonmonotonic Rules;Knowledge Science; Engineering and Management;;;10.1007/11811220_1;Jos de BruijnThomas EiterAxel PolleresHans Tompits;2006;http://link.springer.com/chapter/10.1007/11811220_1;Chapter;;;;
Containment of Conjunctive Queries over Conceptual Schemata;Database Systems for Advanced Applications;;;;10.1007/11733836_44;Andrea Cal«™;2006;http://link.springer.com/chapter/10.1007/11733836_44;Chapter;;;;
Modeling; Matching and Ranking Services Based on Constraint Hardness;Business Process Management Workshops;;;10.1007/11837862_44;Claudia dÉ??AmatoSteffen Staab;2006;http://link.springer.com/chapter/10.1007/11837862_44;Chapter;;;;
Query Answering under Expressive Entity-Relationship Schemata;Conceptual Modeling É?? ER 2010;;;;10.1007/978-3-642-16373-9_25;Andrea Cal«™Georg GottlobAndreas Pieris;2010;http://link.springer.com/chapter/10.1007/978-3-642-16373-9_25;Chapter;;;;
A Defeasible Ontology Language;On the Move to Meaningful Internet Systems 2002: CoopIS; DOA; and ODBASE;;10.1007/3-540-36124-3_66;S. HeymansD. Vermeir;2002;http://link.springer.com/chapter/10.1007/3-540-36124-3_66;Chapter;;;;
Imprecise Analogical and Similarity Reasoning about Contextual Information;Intelligent Techniques and Tools for Novel System Architectures;;;;10.1007/978-3-540-77623-9_6;Christos AnagnostopoulosStathes Hadjiefthymiades;2008;http://link.springer.com/chapter/10.1007/978-3-540-77623-9_6;Chapter;;;;
A Logic for SVG Documents Query and Retrieval;Multimedia Tools and Applications;;24;2;10.1023/B:MTAP.0000036840.61778.04;Eugenio Di SciascioFrancesco M. DoniniMarina Mongiello;2004;http://link.springer.com/article/10.1023/B%3AMTAP.0000036840.61778.04;Article;;;;
An Ontology-Based Framework for Geographic Data Integration;Advances in Conceptual Modeling - Challenging Perspectives;;;;10.1007/978-3-642-04947-7_40;V«Ωnia M. P. VidalEveline R. SacramentoJos«∏ Antonio Fernandes de Mac«¶doMarco Antonio Casanova;2009;http://link.springer.com/chapter/10.1007/978-3-642-04947-7_40;Chapter;;;;
Ontological and Practical Issues in Using a Description Logic to Represent Medical Concept Systems: Experience from GALEN;Reasoning Web;;;;10.1007/11837787_9;Alan RectorJeremy Rogers;2006;http://link.springer.com/chapter/10.1007/11837787_9;Chapter;;;;
Semantic Indexing for Intelligent Browsing of Distributed Data;Intelligent Information Processing and Web Mining;;;;10.1007/978-3-540-36562-4_20;M. OuziriC. VerdierA. Flory;2003;http://link.springer.com/chapter/10.1007/978-3-540-36562-4_20;Chapter;;;;
English Querying over Ontologies: E-QuOnto;AI*IA 2007: Artificial Intelligence and Human-Oriented Computing;;;;10.1007/978-3-540-74782-6_16;Raffaella BernardiFrancesca BoninDiego CalvaneseDomenico CarbottaCamilo Thorne;2007;http://link.springer.com/chapter/10.1007/978-3-540-74782-6_16;Chapter;;;;
Finite Model Reasoning on UML Class Diagrams Via Constraint Programming;AI*IA 2007: Artificial Intelligence and Human-Oriented Computing;;;;10.1007/978-3-540-74782-6_5;Marco CadoliDiego CalvaneseGiuseppe De GiacomoToni Mancini;2007;http://link.springer.com/chapter/10.1007/978-3-540-74782-6_5;Chapter;;;;
Querying Incomplete Data with Logic Programs: ER Strikes Back;Conceptual Modeling - ER 2007;;;;10.1007/978-3-540-75563-0_18;Andrea Cal«™;2007;http://link.springer.com/chapter/10.1007/978-3-540-75563-0_18;Chapter;;;;
OntoYield: A Semantic Approach for Context-Based Ontology Recommendation Based on Structure Preservation;Proceedings of International Conference on Computational Intelligence and Data Engineering;;;;10.1007/978-981-10-6319-0_22;G. Leena GiriGerard DeepakS. H. ManjulaK. R. Venugopal;2018;http://link.springer.com/chapter/10.1007/978-981-10-6319-0_22;Chapter;;;;
Formal Properties of Modularisation;Modular Ontologies;;;;10.1007/978-3-642-01907-4_3;Boris KonevCarsten LutzDirk WaltherFrank Wolter;2009;http://link.springer.com/chapter/10.1007/978-3-642-01907-4_3;Chapter;;;;
Chapter 1 Amalgams; Colimits; and Conceptual Blending;Concept Invention;;10.1007/978-3-319-65602-1_1;F«∏lix BouEnric PlazaMarco Schorlemmer;2018;http://link.springer.com/chapter/10.1007/978-3-319-65602-1_1;Chapter;;;;
Data Semantics on the Web;Journal on Data Semantics;;1;1;10.1007/s13740-012-0003-z;Heiner Stuckenschmidt;2012;http://link.springer.com/article/10.1007/s13740-012-0003-z;Article;;;;
Contextual Ontologies;Advances in Information Systems;;;;10.1007/11890393_18;Djamal BenslimaneAhmed AraraGilles FalquetZakaria MaamarPhilippe ThiranFaiez Gargouri;2006;http://link.springer.com/chapter/10.1007/11890393_18;Chapter;;;;
Querying the Semantic Web: A Formal Approach;The Semantic Web É?? ISWC 2002;;;;10.1007/3-540-48005-6_15;Ian HorrocksSergio Tessaris;2002;http://link.springer.com/chapter/10.1007/3-540-48005-6_15;Chapter;;;;
The MIEL system: Uniform interrogation of structured and weakly-structured imprecise data;Journal of Intelligent Information Systems;;29;3;10.1007/s10844-006-0014-z;Ollivier Haemmerl«∏Patrice BucheRallou Thomopoulos;2007;http://link.springer.com/article/10.1007/s10844-006-0014-z;Article;;;;
Applying Formal Methods to Case Based Design AIDS;Artificial Intelligence in Design É??96;;;;10.1007/978-94-009-0279-4_11;Mario de GrassiAlberto GirettiLuca Spalazzi;1996;http://link.springer.com/chapter/10.1007/978-94-009-0279-4_11;Chapter;;;;
Conceptual Structures Represented by Conceptual Graphs and Formal Concept Analysis;Conceptual Structures: Standards and Practices;;;;10.1007/3-540-48659-3_27;Guy MineauGerd StummeRudolf Wille;1999;http://link.springer.com/chapter/10.1007/3-540-48659-3_27;Chapter;;;;
A Framework for Semi-automatic Data Integration;Enterprise Information Systems;;;;10.1007/978-3-642-00670-8_4;Paolo CeravoloZhan CuiErnesto DamianiAlex GusminiMarcello Leida;2009;http://link.springer.com/chapter/10.1007/978-3-642-00670-8_4;Chapter;;;;
Study and formalization of a case-based reasoning system using a description logic;Advances in Case-Based Reasoning;;;;10.1007/BFb0056341;Sylvie SalottiV«∏ronique Ventos;1998;http://link.springer.com/chapter/10.1007/BFb0056341;Chapter;;;;
Shape and Content;Integrated Formal Methods;;;;10.1007/978-3-319-10181-1_1;Diego CalvaneseTomer KotekMantas èˇimkusHelmut VeithFlorian Zuleger;2014;http://link.springer.com/chapter/10.1007/978-3-319-10181-1_1;Chapter;;;;
Managing Data Warehouse Traceability: A Life-Cycle Driven Approach;Advanced Information Systems Engineering;;;;10.1007/978-3-319-19069-3_13;Selma KhouriKamel SemasselLadjel Bellatreche;2015;http://link.springer.com/chapter/10.1007/978-3-319-19069-3_13;Chapter;;;;
Concept learning in description logics using refinement operators;Machine Learning;;78;01/fev;10.1007/s10994-009-5146-2;Jens LehmannPascal Hitzler;2009;http://link.springer.com/article/10.1007/s10994-009-5146-2;Article;;;;
Logical Analysis of Mappings between Medical Classification Systems;Artificial Intelligence: Methodology; Systems; and Applications;;10.1007/978-3-540-85776-1_26;Elena CardilloClaudio EccherLuciano SerafiniAndrei Tamilin;2008;http://link.springer.com/chapter/10.1007/978-3-540-85776-1_26;Chapter;;;;
Fuzzy reasoning framework to improve semantic video interpretation;Multimedia Tools and Applications;;75;10;10.1007/s11042-015-2537-1;Mohamed ZarkaAnis Ben AmmarAdel M. Alimi;2016;http://link.springer.com/article/10.1007/s11042-015-2537-1;Article;;;;
Semantic integration;Information Sharing on the Semantic Web;;;;10.1007/3-540-26907-X_1;;2005;http://link.springer.com/chapter/10.1007/3-540-26907-X_1;Chapter;;;;
Automated Geographical Information Fusion and Ontology Alignment;Spatial Data on the Web;;;;10.1007/978-3-540-69878-4_6;Matt DuckhamMike Worboys;2007;http://link.springer.com/chapter/10.1007/978-3-540-69878-4_6;Chapter;;;;
Discovery;Semantic Web Services;;;;10.1007/3-540-70894-4_8;Stephan Grimm;2007;http://link.springer.com/chapter/10.1007/3-540-70894-4_8;Chapter;;;;
Query Processing in Ontology-Based Peer-to-Peer Systems;Ontologies for Agents: Theory and Experiences;;;;10.1007/3-7643-7361-X_7;Heiner StuckenschmidtFrank van HarmelenFausto Giunchiglia;2005;http://link.springer.com/chapter/10.1007/3-7643-7361-X_7;Chapter;;;;
Modeling Uncertainty in Knowledge Representation;Fuzzy Computational Ontologies in Contexts;;;;10.1007/978-3-642-25456-7_4;Dr. Yi CaiDr. Ching-man Au YeungProf. Ho-fung Leung;2012;http://link.springer.com/chapter/10.1007/978-3-642-25456-7_4;Chapter;;;;
Resolving the É??Weak StatusÉ?ù of Weak Entity Types in Entity Relationship Schemas;Conceptual Modeling É?? ER É??99;;;;10.1007/3-540-47866-3_25;Mira BalabanPeretz Shoval;1999;http://link.springer.com/chapter/10.1007/3-540-47866-3_25;Chapter;;;;
KR and Reasoning on the Semantic Web: OWL;Handbook of Semantic Web Technologies;;;;10.1007/978-3-540-92913-0_9;Ian HorrocksPeter F. Patel-Schneider;2011;http://link.springer.com/referenceworkentry/10.1007/978-3-540-92913-0_9;ReferenceWorkEntry;;;;
Picsel and Xyleme: Two Illustrative Information Integration Agents;Intelligent Information Agents;;;;10.1007/3-540-36561-3_3;Marie-Christine RoussetChantal Reynaud;2003;http://link.springer.com/chapter/10.1007/3-540-36561-3_3;Chapter;;;;
Knowledge Representation and Ontologies;Scientific Data Mining and Knowledge Discovery;;;;10.1007/978-3-642-02788-8_6;Stephan Grimm;2010;http://link.springer.com/chapter/10.1007/978-3-642-02788-8_6;Chapter;;;;
Semantic E-Workflow Composition;Journal of Intelligent Information Systems;;21;3;10.1023/A:1025542915514;Jorge CardosoAmit Sheth;2003;http://link.springer.com/article/10.1023/A%3A1025542915514;Article;;;;
An optimization approach on the integration of multiple images for classification;KI-98: Advances in Artificial Intelligence;;;;10.1007/BFb0095444;O. HerzogA. G«¨nter;1998;http://link.springer.com/chapter/10.1007/BFb0095444;Chapter;;;;
Induction of Concepts in Web Ontologies through Terminological Decision Trees;Machine Learning and Knowledge Discovery in Databases;;;;10.1007/978-3-642-15880-3_34;Nicola FanizziClaudia dÉ??AmatoFloriana Esposito;2010;http://link.springer.com/chapter/10.1007/978-3-642-15880-3_34;Chapter;;;;
An Approach to the Development of Flexible Multirobot Systems: the Potential of Using Mobile Code Technology;Journal of Intelligent and Robotic Systems;;52;03/abr;10.1007/s10846-008-9224-7;Francesco Amigoni;2008;http://link.springer.com/article/10.1007/s10846-008-9224-7;Article;;;;
Towards a Unifying Approach to Representing and Querying Temporal Data in Description Logics;Web Reasoning and Rule Systems;;;;10.1007/978-3-642-33203-6_8;V«ctor Guti«∏rrez-BasultoSzymon Klarman;2012;http://link.springer.com/chapter/10.1007/978-3-642-33203-6_8;Chapter;;;;
Rules and Queries with Ontologies: A Unified Logical Framework;Principles and Practice of Semantic Web Reasoning;;;;10.1007/978-3-540-30122-6_4;Enrico FranconiSergio Tessaris;2004;http://link.springer.com/chapter/10.1007/978-3-540-30122-6_4;Chapter;;;;
Ontology Reasoning in Agent-Oriented Programming;Advances in Artificial Intelligence É?? SBIA 2010;;;;10.1007/978-3-642-16138-4_3;Claudio Fuzitaki«Ålvaro MoreiraRenata Vieira;2010;http://link.springer.com/chapter/10.1007/978-3-642-16138-4_3;Chapter;;;;
Emergent Semantics Systems;Semantics of a Networked World. Semantics for Grid Databases;;;;10.1007/978-3-540-30145-5_2;Karl AbererTiziana CatarciPhilippe Cudr«∏-MaurouxTharam DillonStephan GrimmMohand-Said HacidArantza IllarramendiMustafa JarrarVipul KashyapMassimo MecellaEduardo MenaErich J. NeuholdAris M. OukselThomas RisseMonica ScannapiecoF«˘lix Saltor;2004;http://link.springer.com/chapter/10.1007/978-3-540-30145-5_2;Chapter;;;;
SysML-based design chain information modeling for variety management in production reconfiguration;Journal of Intelligent Manufacturing;;24;3;10.1007/s10845-011-0585-6;Dazhong WuLinda L. ZhangRoger J. JiaoRoberto F. Lu;2013;http://link.springer.com/article/10.1007/s10845-011-0585-6;Article;;;;
FCA in Knowledge Technologies: Experiences and Opportunities;Concept Lattices;;;;10.1007/978-3-540-24651-0_23;Yannis KalfoglouSrinandan DasmahapatraYun-Heh Chen-Burger;2004;http://link.springer.com/chapter/10.1007/978-3-540-24651-0_23;Chapter;;;;
Rough Ontology Mapping in E-Business Integration;E-Service Intelligence;;;;10.1007/978-3-540-37017-8_3;Yi ZhaoWolfgang HalangXia Wang;2007;http://link.springer.com/chapter/10.1007/978-3-540-37017-8_3;Chapter;;;;
